1965,554,23.0868,50,
2105,554,40.7063,70,
2165,545,32.5576,47,
2180,556,33.1059,71,
2029,606,35.2278,82,
2119,539,25.2982,39,
2064,599,29.0689,62,
2012,572,18.0278,36,
2227,548,17.4929,27,
1934,590,60.8276,87,
2030,545,2.82843,5,
1914,559,8.60233,13,
2144,544,28.0179,74,
2114,609,13.3417,25,
2129,614,8.24621,57,
1927,591,17.2047,43,
2166,532,29.4279,81,
2098,569,37.5366,94,
2257,543,37.5366,70,
2236,536,26.1725,38,
2047,559,16.1555,116,
2278,539,34.9857,83,
2135,588,20.1246,28,
1897,539,51.225,89,
2006,510,8.06226,12,
2072,538,33.2415,74,
2212,576,18.868,87,
2219,569,13.0384,65,
2249,553,17.1172,20,
2043,571,39.5601,132,
1998,586,35,46,
2134,572,23.7065,47,
2095,605,37.6563,49,
2140,557,34.9285,117,
1882,614,53.0754,106,
2248,534,34.0147,60,
2315,524,40.3609,64,
2162,612,11.4018,57,
2128,591,20.2485,73,
2118,565,21.5407,35,
2257,533,17,44,
2008,588,34.9285,85,
2180,589,35.7771,89,
2217,562,33.2415,38,
2089,643,32.573,54,
2152,614,22.2036,46,
2215,548,18.6815,54,
2184,565,35.2278,72,
2272,570,35.609,55,
2026,618,5,6,
1992,549,32.0156,66,
2015,629,5.83095,9,
2225,543,44.6542,81,
1975,634,25.807,71,
2143,618,28.3019,44,
2219,590,21.095,32,
2076,569,25.2982,55,
2276,521,2,3,
2201,555,26.4764,38,
2244,577,37.6431,98,
2253,560,5,8,
2024,538,14.0357,38,
2320,512,13.0384,19,
2182,602,15.2971,31,
2098,552,15.1327,102,
2241,548,15.6205,111,
2024,594,20.8806,35,
2301,508,40.3113,48,
2224,562,10.6301,74,
1990,541,30.0832,40,
2141,629,43.0465,54,
2219,563,22.8035,53,
2171,508,49.7695,86,
2159,533,30.8869,103,
2223,579,26.0192,56,
1897,673,7.2111,19,
2126,544,32.8938,91,
1934,559,37.7359,53,
2087,610,33.9411,103,
2110,600,37.7359,77,
1989,582,39.6989,107,
2193,586,42.0119,54,
2130,542,44.0114,90,
2269,583,11.1803,48,
2168,563,17.8885,25,
2238,569,23.7697,92,
2127,591,41.3401,112,
2257,607,16.4012,70,
2189,561,39.9625,80,
2014,580,29.6142,38,
2238,602,9.21954,14,
2079,551,25.318,136,
2245,579,41.3401,132,
1998,644,11,12,
1980,606,20.8087,82,
2027,581,44.4072,89,
2172,577,43.1393,94,
1844,657,31.4006,93,
2253,602,38.4708,89,
1980,560,29.0689,92,
