355,587,5.09902,35,
665,1051,18.1108,33,
196,322,19.6977,41,
192,320,5.38516,26,
377,607,17.8885,25,
502,797,24.4131,45,
350,580,21.1896,40,
469,762,5.38516,8,
236,394,13.0384,33,
340,529,7.28011,10,
9,16,3,4,
580,912,15.5242,20,
580,876,4,5,
674,1046,14.3178,26,
11,20,5,6,
673,1040,5.83095,9,
530,860,10.2956,37,
473,747,9.48683,27,
392,629,5,6,
334,517,11.4018,17,
369,616,5.09902,13,
461,695,28.2843,53,
279,442,25.2389,36,
361,596,10.2956,15,
462,744,8.94427,13,
296,481,6,7,
63,112,10.2956,15,
273,445,15.0333,25,
460,714,11.7047,44,
562,899,6.32456,9,
655,1042,11.4018,17,
249,410,4.24264,15,
564,907,16,17,
505,840,5,6,
289,455,9.21954,12,
4,8,0,1,
500,776,9.48683,13,
4,8,0,1,
287,450,6.08276,16,
4,8,0,1,
396,655,5,6,
694,1112,9.48683,19,
711,1111,7.07107,25,
674,1058,16.0312,38,
387,606,2,3,
588,907,3,4,
417,684,6,7,
463,767,5,8,
589,924,3,4,
71,124,14.7648,29,
470,752,4,5,
20,36,8.48528,13,
284,468,24.3516,74,
173,280,29.6985,71,
4,8,0,1,
250,433,17.8045,56,
516,825,12.53,18,
514,806,28.3019,50,
181,306,15,32,
669,1023,7.07107,9,
4,8,0,1,
812,1236,17.72,23,
608,979,14.3178,18,
360,540,31.1127,45,
20,36,9.48683,13,
12,22,6,7,
113,199,16.7631,36,
145,248,13.6015,20,
607,960,12,13,
515,841,7.07107,11,
251,426,6.32456,9,
374,609,10,61,
110,187,4,5,
586,979,18.6815,132,
439,717,3,4,
694,1101,19.6469,39,
600,932,22.561,28,
520,833,21.6333,31,
420,649,25.0799,34,
401,647,12.53,24,
584,953,23.5372,45,
441,704,16.2788,24,
444,711,2.23607,14,
506,825,4,5,
4,8,0,1,
4,8,0,1,
12,22,6,7,
491,798,6,7,
64,111,5,32,
410,659,8.24621,11,
627,1020,22.1359,47,
625,928,7.07107,15,
236,401,5,8,
317,507,14.2127,21,
476,783,24.6982,35,
462,775,23.0217,61,
313,469,16.9706,25,
4,8,0,1,
564,883,22.3607,27,
585,963,9,10,
