1101,1341,3,4,
782,1028,9.48683,15,
51,77,13.3417,17,
1107,1432,12.083,17,
406,550,7.81025,12,
1276,1584,5,8,
824,1077,2,3,
8,13,2,3,
314,402,3,4,
572,668,2.82843,5,
705,879,11.1803,14,
885,1107,2.82843,15,
166,221,3,4,
1245,1515,7.81025,16,
142,196,8.544,12,
483,629,15.6525,26,
780,1000,3.60555,6,
1357,1716,3,4,
362,431,8.94427,21,
28,45,8,9,
18,29,3,4,
1317,1605,9.21954,34,
511,678,17.72,39,
419,544,6.7082,10,
560,690,5.83095,9,
9,16,3,4,
244,320,4.47214,7,
502,693,10.198,13,
1243,1595,7.61577,11,
782,1019,3.60555,6,
845,1019,9.21954,14,
272,361,2,3,
253,328,7.61577,11,
133,181,2,3,
1183,1505,14.5602,31,
13,21,3.60555,6,
973,1286,6.08276,12,
965,1253,5,8,
1368,1753,2,3,
37,46,2,3,
134,166,7.28011,10,
557,717,18.1108,49,
313,408,8.06226,12,
101,137,17.0294,25,
1130,1382,23.3452,32,
1193,1482,6.08276,12,
1171,1427,13,22,
1137,1402,4,5,
282,378,14.3178,28,
563,687,5,6,
851,1098,2.23607,8,
18,29,3,4,
17,26,2,3,
1148,1493,3,4,
997,1261,2,3,
436,590,8,9,
643,843,5,6,
450,566,11.7047,16,
619,822,5.83095,15,
982,1269,5,8,
410,552,15.2315,37,
150,194,14.5602,23,
415,507,13,34,
4,8,0,1,
1151,1448,3,4,
311,415,5.83095,17,
557,726,6.32456,9,
794,1004,2,3,
13,21,3.60555,6,
32,48,8.24621,11,
987,1238,10.7703,19,
856,1100,8.06226,12,
1162,1436,5,20,
978,1212,5.83095,15,
289,372,22.2036,44,
577,761,14.0357,22,
793,1047,5.65685,19,
1121,1414,10.6301,22,
19,32,3,10,
9,16,3,4,
1132,1445,2.82843,5,
933,1181,3.60555,6,
831,1035,7.28011,10,
228,300,6.32456,9,
817,1015,11.1803,18,
1085,1389,14.3178,46,
1116,1453,2.82843,5,
533,657,2.82843,5,
720,954,7.2111,11,
644,873,2,3,
332,443,4.24264,7,
33,51,8,15,
772,992,7.81025,16,
994,1269,3,4,
67,98,6.32456,17,
650,853,2.23607,24,
653,833,2,7,
75,105,4.24264,7,
307,395,2,3,
879,1116,16.1555,26,
